DESWIK_ID;ES;EF;TP
MN_525_C_LH_031_1_C_LP_1_72625319;0;16;0
MN_475_C_LH_028_1_C_LP_1_d72db506;0;4;0
MN_400_R_RP_024_1_R_LP_13_97a9033e;0;2;1
MN_475_G_GB_038_1_E_LP_23_11650871;0;1;1
MN_450_G_GB_018_1_O_LP_5_7319d9a9;0;1;1
MN_425_G_CX_024_1_N_LP_7_32a46901;0;1;1
MN_475_C_LH_031_1_C_LP_1_99450838;0;0;3
MN_600_G_GT_025_1_E_LP_1_b480a534;0;2;9
MN_450_G_GT_022_1_O_LP_1_26755ea0;0;2;11
MN_425_G_CX_026_1_N_LP_3_d64203b5;0;2;22
MN_475_E_ESE_019_2_O_LP_1_fabaefc8;0;6;23
MN_425_G_GT_024_1_O_LP_2_e5a8a5d6;0;6;27
MN_475_E_ESE_020_2_O_LP_1_67207703;0;6;29
MN_550_E_EV_18_2_O_LP_1_6fac7aaa;0;4;35
MN_425_G_GT_024_1_E_LP_5_9346d819;0;6;38
MN_500_E_EV_018_1_N_LP_1_3872318e;0;4;39
MN_450_E_EC_036_1_S_LP_1_af3df472;0;6;43
MN_500_G_CX_032_1_N_LP_1_449662f8;0;2;47
MN_525_G_GT_021_1_O_LP_1_8d47b3d4;0;6;51
MN_475_E_EC_013_1_S_LP_1_49b56dfc;0;6;77
MN_450_G_GB_019_1_O_LP_14_502806f8;0;1;120
MN_550_G_GT_018_1_O_LP_1_f702e415;0;6;131
MN_500_G_GB_24_1_E_LP_4_3223d054;0;1;143
MN_525_G_CX_031_1_N_LP_10_ebda978d;0;1;156
MN_500_G_GB_027_2_E_LP_1_e1be38e5;0;1;161
MN_580_G_GB_027_1_S_LP_1_20c98c5d;0;1;162
MN_580_G_GB_027_1_E_LP_12_4f2b2f9d;0;1;170
MN_475_G_GB_018_1_E_LP_4_cf9999e5;0;1;181
MN_500_G_GB_21_1_O_LP_2_e9a4b047;0;1;194
MN_500_G_GB_21_1_E_LP_2_446e95e6;0;1;197
MN_525_G_CX_036_1_N_LP_1_6b20164c;0;2;219
MN_550_G_GB_022_1_O_LP_5_4eccd70c;0;2;251
MN_550_G_GB_028_1_E_LP_1_6fe236c9;0;1;259
MN_550_G_GB_025_1_O_LP_12_5f934aaa;0;1;272
MN_550_G_GB_023_1_O_LP_26_7b35a4d2;0;1;273
MN_525_G_CX_038_1_N_LP_6_15bebcc6;0;2;301
MN_475_G_GB_032_1_O_LP_2_4779e8ae;0;1;302
MN_550_G_CX_038_1_N_LP_6_917d280f;0;2;303
MN_475_G_GB_033_1_O_LP_2_76c61b62;0;1;304
MN_500_G_GT_021_1_O_CP_2_bf2c25e7;0;6;313
MN_525_G_GB_040_1_E_LP_1_89f441e1;0;1;399
MN_525_G_GB_040_1_O_LP_1_cf4098d0;0;1;403
MN_580_G_GT_016_1_O_LP_3_5413a712;0;6;449
MN_475_G_GB_014_1_O_LP_1_756f147b;0;1;495
MN_580_G_GB_021_1_O_LP_1_517422a9;0;1;496
MN_500_G_GB_030_4_E_LP_4_8d329e62;0;1;500
MN_450_G_GB_023_4_O_LP_1_871cbc01;0;1;505
MN_600_G_GT_016_1_O_LP_1_9c3fa9dc;0;6;528
MN_450_G_GB_024_4_E_LP_1_bdaa93b9;0;1;534
MN_425_G_AC_024_4_S_CP_2_a9b6eaef;0;8;620
MN_475_G_CX_031_2_NA_LP_1_c9113116;0;2;627
MN_525_C_LH_037_2_C_LP_1_12e414cd;0;0;777
MN_525_C_LH_028_4_C_LP_1_13116744;0;0;916
MN_550_C_LH_029_1_C_LP_1_6df766e7;0;1;1251
MN_450_C_LH_021_2_C_LP_1_27a8d90a;0;8;1434
MN_475_C_LH_017_2_C_LP_1_2f3d7899;0;5;1492
MN_500_C_LH_024_1_C_LP_1_30d7f8b7;0;8;1582
MN_525_C_LH_031_1_C_LP_1_5d49bc96;21;29;21
MN_475_C_LH_030_1_C_LP_1_8588c1a6;4;7;4
MN_475_C_LH_028_1_C_LP_1_891c3329;9;13;9
MN_400_R_RP_024_1_R_LP_14_18edddf7;2;4;2
MN_475_C_LH_041_1_C_LP_1_7db41ddd;1;3;2
MN_450_G_GB_018_1_O_LP_6_8b06f83c;1;2;2
MN_425_G_GB_024_1_E_LP_1_6ed1c6c0;1;2;7
MN_425_G_GB_025_1_O_LP_1_1f4cc303;1;2;203
MN_475_C_LH_031_1_C_LP_1_bcd59c18;0;0;3
MN_600_E_EE_026_1_S_LP_1_d2db618e;2;7;17
MN_450_G_CX_022_1_N_LP_1_bb93c38a;2;4;13
MN_425_G_CX_026_1_N_LP_4_442d7521;2;4;23
MN_425_G_CX_023_1_N_LP_1_1323ce32;6;8;33
MN_425_G_GB_023_1_O_LP_1_2eb4e461;6;7;244
MN_425_G_GT_024_1_E_LP_6_a8f8c328;6;8;45
MN_450_R_RP_031_1_R_LP_9_8b78d8ce;6;8;49
MN_500_G_CX_032_1_N_LP_2_3fdea7b5;2;4;49
MN_525_G_GT_021_1_O_LP_2_948d296e;6;12;58
MN_475_G_GT_019_2_O_LP_6_ca22861c;6;12;83
MN_450_G_GB_019_1_O_LP_15_5cfb3914;1;2;121
MN_550_G_GT_018_1_O_LP_2_e701e29e;6;12;138
MN_500_G_GB_24_1_E_LP_5_b61c455b;1;2;144
MN_580_G_GB_027_1_S_LP_2_9fa9209a;1;2;163
MN_580_G_GB_027_1_E_LP_13_5115eda7;1;2;171
MN_475_G_GB_018_1_E_LP_5_a9f7b30c;1;2;182
