Deswik ID;BZ ID;Early Start
MN_450_C_LH_024_4_C_LP_1_a2deee58;0;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;1;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;2;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;3;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;4;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;5;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;6;1
MN_450_C_LH_024_4_C_LP_1_a2deee58;7;2
MN_450_C_LH_024_4_C_LP_1_a2deee58;8;1
MN_450_C_LH_024_4_C_LP_1_a2deee58;9;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;10;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;11;2
MN_450_C_LH_024_4_C_LP_1_a2deee58;12;4
MN_450_C_LH_024_4_C_LP_1_a2deee58;13;3
MN_450_C_LH_024_4_C_LP_1_a2deee58;14;4
MN_450_C_LH_024_4_C_LP_1_a2deee58;15;3
MN_450_C_LH_024_4_C_LP_1_a2deee58;16;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;17;4
MN_450_C_LH_024_4_C_LP_1_a2deee58;18;8
MN_450_C_LH_024_4_C_LP_1_a2deee58;19;5
MN_450_C_LH_024_4_C_LP_1_a2deee58;20;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;21;1
MN_450_C_LH_024_4_C_LP_1_a2deee58;22;10
MN_450_C_LH_024_4_C_LP_1_a2deee58;23;2
MN_450_C_LH_024_4_C_LP_1_a2deee58;24;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;25;9
MN_450_C_LH_024_4_C_LP_1_a2deee58;26;12
MN_450_C_LH_024_4_C_LP_1_a2deee58;27;3
MN_450_C_LH_024_4_C_LP_1_a2deee58;28;3
MN_450_C_LH_024_4_C_LP_1_a2deee58;29;9
MN_450_C_LH_024_4_C_LP_1_a2deee58;30;4
MN_450_C_LH_024_4_C_LP_1_a2deee58;31;14
MN_450_C_LH_024_4_C_LP_1_a2deee58;32;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;33;5
MN_450_C_LH_024_4_C_LP_1_a2deee58;34;16
MN_450_C_LH_024_4_C_LP_1_a2deee58;35;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;36;13
MN_450_C_LH_024_4_C_LP_1_a2deee58;37;2
MN_450_C_LH_024_4_C_LP_1_a2deee58;38;18
MN_450_C_LH_024_4_C_LP_1_a2deee58;39;7
MN_450_C_LH_024_4_C_LP_1_a2deee58;40;8
MN_450_C_LH_024_4_C_LP_1_a2deee58;41;4
MN_450_C_LH_024_4_C_LP_1_a2deee58;42;20
MN_450_C_LH_024_4_C_LP_1_a2deee58;43;9
MN_450_C_LH_024_4_C_LP_1_a2deee58;44;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;45;22
MN_450_C_LH_024_4_C_LP_1_a2deee58;46;10
MN_450_C_LH_024_4_C_LP_1_a2deee58;47;2
MN_450_C_LH_024_4_C_LP_1_a2deee58;48;8
MN_450_C_LH_024_4_C_LP_1_a2deee58;49;11
MN_450_C_LH_024_4_C_LP_1_a2deee58;50;24
MN_450_C_LH_024_4_C_LP_1_a2deee58;51;12
MN_450_C_LH_024_4_C_LP_1_a2deee58;52;10
MN_450_C_LH_024_4_C_LP_1_a2deee58;53;26
MN_450_C_LH_024_4_C_LP_1_a2deee58;54;13
MN_450_C_LH_024_4_C_LP_1_a2deee58;55;13
MN_450_C_LH_024_4_C_LP_1_a2deee58;56;20
MN_450_C_LH_024_4_C_LP_1_a2deee58;57;20
MN_450_C_LH_024_4_C_LP_1_a2deee58;58;12
MN_450_C_LH_024_4_C_LP_1_a2deee58;59;28
MN_450_C_LH_024_4_C_LP_1_a2deee58;60;14
MN_450_C_LH_024_4_C_LP_1_a2deee58;61;21
MN_450_C_LH_024_4_C_LP_1_a2deee58;62;15
MN_450_C_LH_024_4_C_LP_1_a2deee58;63;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;64;30
MN_450_C_LH_024_4_C_LP_1_a2deee58;65;14
MN_450_C_LH_024_4_C_LP_1_a2deee58;66;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;67;32
MN_450_C_LH_024_4_C_LP_1_a2deee58;68;2
MN_450_C_LH_024_4_C_LP_1_a2deee58;69;15
MN_450_C_LH_024_4_C_LP_1_a2deee58;70;16
MN_450_C_LH_024_4_C_LP_1_a2deee58;71;34
MN_450_C_LH_024_4_C_LP_1_a2deee58;72;4
MN_450_C_LH_024_4_C_LP_1_a2deee58;73;14
MN_450_C_LH_024_4_C_LP_1_a2deee58;74;36
MN_450_C_LH_024_4_C_LP_1_a2deee58;75;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;76;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;77;15
MN_450_C_LH_024_4_C_LP_1_a2deee58;78;38
MN_450_C_LH_024_4_C_LP_1_a2deee58;79;16
MN_450_C_LH_024_4_C_LP_1_a2deee58;80;29
MN_450_C_LH_024_4_C_LP_1_a2deee58;81;29
MN_450_C_LH_024_4_C_LP_1_a2deee58;82;40
MN_450_C_LH_024_4_C_LP_1_a2deee58;83;16
MN_450_C_LH_024_4_C_LP_1_a2deee58;84;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;85;17
MN_450_C_LH_024_4_C_LP_1_a2deee58;86;42
MN_450_C_LH_024_4_C_LP_1_a2deee58;87;18
MN_450_C_LH_024_4_C_LP_1_a2deee58;88;44
MN_450_C_LH_024_4_C_LP_1_a2deee58;89;19
MN_450_C_LH_024_4_C_LP_1_a2deee58;90;34
MN_450_C_LH_024_4_C_LP_1_a2deee58;91;34
MN_450_C_LH_024_4_C_LP_1_a2deee58;92;20
MN_450_C_LH_024_4_C_LP_1_a2deee58;93;46
MN_450_C_LH_024_4_C_LP_1_a2deee58;94;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;95;21
MN_450_C_LH_024_4_C_LP_1_a2deee58;96;21
MN_450_C_LH_024_4_C_LP_1_a2deee58;97;48
MN_450_C_LH_024_4_C_LP_1_a2deee58;98;8
MN_450_C_LH_024_4_C_LP_1_a2deee58;99;22
MN_450_C_LH_024_4_C_LP_1_a2deee58;100;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;101;50
MN_450_C_LH_024_4_C_LP_1_a2deee58;102;10
MN_450_C_LH_024_4_C_LP_1_a2deee58;103;23
MN_450_C_LH_024_4_C_LP_1_a2deee58;104;24
MN_450_C_LH_024_4_C_LP_1_a2deee58;105;52
MN_450_C_LH_024_4_C_LP_1_a2deee58;106;12
MN_450_C_LH_024_4_C_LP_1_a2deee58;107;13
MN_450_C_LH_024_4_C_LP_1_a2deee58;108;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;109;14
MN_450_C_LH_024_4_C_LP_1_a2deee58;110;54
MN_450_C_LH_024_4_C_LP_1_a2deee58;111;15
MN_450_C_LH_024_4_C_LP_1_a2deee58;112;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;113;56
MN_450_C_LH_024_4_C_LP_1_a2deee58;114;16
MN_450_C_LH_024_4_C_LP_1_a2deee58;115;17
MN_450_C_LH_024_4_C_LP_1_a2deee58;116;44
MN_450_C_LH_024_4_C_LP_1_a2deee58;117;18
MN_450_C_LH_024_4_C_LP_1_a2deee58;118;43
MN_450_C_LH_024_4_C_LP_1_a2deee58;119;19
MN_450_C_LH_024_4_C_LP_1_a2deee58;120;25
MN_450_C_LH_024_4_C_LP_1_a2deee58;121;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;122;47
MN_450_C_LH_024_4_C_LP_1_a2deee58;123;26
MN_450_C_LH_024_4_C_LP_1_a2deee58;124;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;125;21
MN_450_C_LH_024_4_C_LP_1_a2deee58;126;27
MN_450_C_LH_024_4_C_LP_1_a2deee58;127;28
MN_450_C_LH_024_4_C_LP_1_a2deee58;128;28
MN_450_C_LH_024_4_C_LP_1_a2deee58;129;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;130;29
MN_450_C_LH_024_4_C_LP_1_a2deee58;131;30
MN_450_C_LH_024_4_C_LP_1_a2deee58;132;2
MN_450_C_LH_024_4_C_LP_1_a2deee58;133;31
MN_450_C_LH_024_4_C_LP_1_a2deee58;134;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;135;4
MN_450_C_LH_024_4_C_LP_1_a2deee58;136;32
MN_450_C_LH_024_4_C_LP_1_a2deee58;137;8
MN_450_C_LH_024_4_C_LP_1_a2deee58;138;8
MN_450_C_LH_024_4_C_LP_1_a2deee58;139;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;140;33
MN_450_C_LH_024_4_C_LP_1_a2deee58;141;10
MN_450_C_LH_024_4_C_LP_1_a2deee58;142;34
MN_450_C_LH_024_4_C_LP_1_a2deee58;143;11
MN_450_C_LH_024_4_C_LP_1_a2deee58;144;12
MN_450_C_LH_024_4_C_LP_1_a2deee58;145;35
MN_450_C_LH_024_4_C_LP_1_a2deee58;146;14
MN_450_C_LH_024_4_C_LP_1_a2deee58;147;36
MN_450_C_LH_024_4_C_LP_1_a2deee58;148;37
MN_450_C_LH_024_4_C_LP_1_a2deee58;149;16
MN_450_C_LH_024_4_C_LP_1_a2deee58;150;38
MN_450_C_LH_024_4_C_LP_1_a2deee58;151;18
MN_450_C_LH_024_4_C_LP_1_a2deee58;152;16
MN_450_C_LH_024_4_C_LP_1_a2deee58;153;39
MN_450_C_LH_024_4_C_LP_1_a2deee58;154;6
MN_450_C_LH_024_4_C_LP_1_a2deee58;155;40
MN_450_C_LH_024_4_C_LP_1_a2deee58;156;18
MN_450_C_LH_024_4_C_LP_1_a2deee58;157;60
MN_450_C_LH_024_4_C_LP_1_a2deee58;158;18
MN_450_C_LH_024_4_C_LP_1_a2deee58;159;12
MN_450_C_LH_024_4_C_LP_1_a2deee58;160;14
MN_450_C_LH_024_4_C_LP_1_a2deee58;161;19
MN_450_C_LH_024_4_C_LP_1_a2deee58;162;19
MN_450_C_LH_024_4_C_LP_1_a2deee58;163;20
MN_450_C_LH_024_4_C_LP_1_a2deee58;164;52
MN_450_C_LH_024_4_C_LP_1_a2deee58;165;22
MN_450_C_LH_024_4_C_LP_1_a2deee58;166;18
MN_450_C_LH_024_4_C_LP_1_a2deee58;167;24
MN_450_C_LH_024_4_C_LP_1_a2deee58;168;26
MN_450_C_LH_024_4_C_LP_1_a2deee58;169;28
MN_450_C_LH_024_4_C_LP_1_a2deee58;170;30
MN_450_C_LH_024_4_C_LP_1_a2deee58;171;30
MN_450_C_LH_024_4_C_LP_1_a2deee58;172;30
MN_450_C_LH_024_4_C_LP_1_a2deee58;173;58
MN_450_C_LH_024_4_C_LP_1_a2deee58;174;32
MN_450_C_LH_024_4_C_LP_1_a2deee58;175;33
MN_450_C_LH_024_4_C_LP_1_a2deee58;176;60
MN_450_C_LH_024_4_C_LP_1_a2deee58;177;0
MN_450_C_LH_024_4_C_LP_1_a2deee58;178;35
MN_450_C_LH_024_4_C_LP_1_a2deee58;179;62
MN_450_C_LH_024_4_C_LP_1_a2deee58;180;37
MN_450_C_LH_024_4_C_LP_1_a2deee58;181;64
MN_450_C_LH_024_4_C_LP_1_a2deee58;182;39
MN_450_C_LH_024_4_C_LP_1_a2deee58;183;66
