%BZ_ID;DUR;DESWIK_ID;LEVEL
0;16;MN_525_C_LH_031_1_C_LP_1_72625319;525
1;4;MN_475_C_LH_028_1_C_LP_1_d72db506;475
2;2;MN_400_R_RP_024_1_R_LP_13_97a9033e;400
3;1;MN_475_G_GB_038_1_E_LP_23_11650871;475
4;1;MN_450_G_GB_018_1_O_LP_5_7319d9a9;450
5;1;MN_425_G_CX_024_1_N_LP_7_32a46901;425
6;2;MN_475_C_LH_041_1_C_LP_1_7db41ddd;475
7;2;MN_400_R_RP_024_1_R_LP_14_18edddf7;400
8;1;MN_450_G_GB_018_1_O_LP_6_8b06f83c;450
9;0;MN_475_C_LH_031_1_C_LP_1_99450838;475
10;0;MN_475_C_LH_031_1_C_LP_1_bcd59c18;475
11;1;MN_450_G_GB_018_1_O_LP_7_ed33c979;450
12;2;MN_400_R_RP_024_1_R_LP_15_c267a817;400
13;6;MN_475_C_LH_041_1_C_LP_1_613b9977;475
14;3;MN_475_C_LH_030_1_C_LP_1_8588c1a6;475
15;1;MN_450_G_GB_018_1_O_LP_8_a228066c;450
16;2;MN_400_R_RP_024_1_R_LP_16_93d82d41;400
17;1;MN_450_G_GB_018_1_O_LP_9_bfe13bc3;450
18;2;MN_400_R_RP_024_1_R_LP_17_f6430777;400
19;1;MN_450_G_GB_018_1_O_LP_10_5274796b;450
20;2;MN_450_C_LH_018_2_C_LP_1_56a6353c;450
21;1;MN_425_G_GB_024_1_E_LP_1_6ed1c6c0;425
22;2;MN_400_R_RP_024_1_R_LP_18_283c04dc;400
23;1;MN_425_G_GB_024_1_E_LP_2_d70e43a5;425
24;2;MN_600_G_GT_025_1_E_LP_1_b480a534;600
25;4;MN_475_C_LH_028_1_C_LP_1_891c3329;475
26;2;MN_400_R_RP_024_1_R_LP_19_65989fdc;400
27;5;MN_425_C_LH_024_1_C_LP_1_ca68596c;425
28;1;MN_425_G_GB_024_1_E_LP_3_a35a34a1;425
29;6;MN_475_C_LH_030_1_C_LP_1_f0ae2f65;475
30;1;MN_425_G_GB_024_1_E_LP_4_4c2783c6;425
31;2;MN_400_R_RP_024_1_R_LP_20_5825c32e;400
32;2;MN_450_G_GT_022_1_O_LP_1_26755ea0;450
33;1;MN_425_G_GB_024_1_E_LP_5_8147dac2;425
34;2;MN_400_R_RP_024_1_R_LP_21_d5b33dda;400
35;1;MN_425_G_GB_024_1_E_LP_6_e89d2174;425
36;0;MN_475_C_LH_028_1_C_LP_1_84b77a40;475
37;2;MN_450_G_CX_022_1_N_LP_1_bb93c38a;450
38;2;MN_400_R_RP_024_1_R_LP_22_ad67f4c6;400
39;1;MN_425_G_GB_024_1_E_LP_7_eaa14872;425
40;1;MN_425_G_GB_024_1_E_LP_8_3b3dd666;425
41;2;MN_450_G_CX_022_1_N_LP_2_db259aa3;450
42;2;MN_400_R_RP_024_1_R_LP_23_80a169f4;400
43;1;MN_425_G_GB_024_1_E_LP_9_38108c8a;425
44;2;MN_450_G_CX_022_1_N_LP_3_7d74fe34;450
45;2;MN_400_R_RP_024_1_R_LP_24_13e7fbb0;400
46;1;MN_425_G_GB_024_1_E_LP_10_58ce813a;425
47;5;MN_600_E_EE_026_1_S_LP_1_d2db618e;600
48;2;MN_450_G_CX_022_1_N_LP_4_3ed58a46;450
49;1;MN_425_G_GB_024_1_E_LP_11_33c4a981;425
50;2;MN_400_R_RP_024_1_R_LP_25_20829d9d;400
51;1;MN_425_G_GB_024_1_E_LP_12_59a0cf14;425
52;2;MN_450_G_CX_022_1_N_LP_5_652ff7ff;450
53;2;MN_400_R_RP_024_1_R_LP_26_721676a6;400
54;4;MN_425_C_LH_025_1_C_LP_1_b5ba088f;425
55;1;MN_425_G_GB_024_1_E_LP_13_caf78032;425
56;0;MN_475_C_LH_030_1_C_LP_1_bc89b841;475
57;0;MN_475_C_LH_030_1_C_LP_1_379af692;475
58;2;MN_450_G_CX_022_1_N_LP_6_5e68e59d;450
59;2;MN_400_R_RP_024_1_R_LP_27_7d0fb183;400
60;1;MN_425_G_GB_024_1_E_LP_14_8f09a502;425
61;8;MN_525_C_LH_031_1_C_LP_1_5d49bc96;525
62;1;MN_425_G_GB_024_1_E_LP_15_960310b8;425
63;2;MN_425_G_CX_026_1_N_LP_3_d64203b5;425
64;2;MN_400_R_RP_024_1_R_LP_28_39b5af19;400
65;1;MN_450_G_GB_022_1_E_LP_1_51be0a9c;450
66;6;MN_475_E_ESE_019_2_O_LP_1_fabaefc8;475
67;2;MN_400_R_RP_024_1_R_LP_29_87432ff7;400
68;2;MN_425_G_CX_026_1_N_LP_4_442d7521;425
69;1;MN_450_G_GB_022_1_E_LP_2_6e044eb9;450
70;1;MN_450_G_GB_022_1_E_LP_3_7992ac01;450
71;2;MN_400_R_RP_024_1_R_LP_30_f9dc18ca;400
72;2;MN_425_G_CX_026_1_N_LP_5_2da73cbe;425
73;1;MN_450_G_GB_022_1_O_LP_1_1e8950de;450
74;2;MN_400_R_RP_024_1_R_LP_31_ad2d31ad;400
75;1;MN_425_G_CX_026_1_N_LP_6_39c1bca6;425
76;6;MN_425_G_GT_024_1_O_LP_2_e5a8a5d6;425
77;1;MN_450_G_GB_022_1_O_LP_2_4e71ec8f;450
78;2;MN_400_R_RP_024_1_R_LP_32_6be2a0b3;400
79;1;MN_450_G_GB_022_1_O_LP_3_cd96b900;450
80;14;MN_525_C_LH_031_1_C_LP_1_ed994106;525
81;5;MN_525_C_LH_32_1_C_LP_1_70259373;525
82;2;MN_400_R_RP_024_1_R_LP_33_d5124203;400
83;1;MN_425_G_GB_024_1_E_LP_16_af809ced;425
